,importance,gene
1808,0.2533592796092805,LOC109187985
262,0.25327991452991555,LOC109179913
1420,0.2531509462759471,LOC109160681
1508,0.25304181929182024,LOC109178052
2729,0.25297237484737584,LOC109165498
529,0.2529723748473754,LOC109159045
2468,0.2527541208791215,LOC109162092
1481,0.2527243589743601,LOC109180333
67,0.2526053113553121,LOC109157151
1550,0.25251602564102593,LOC109184049
1405,0.2524664224664233,LOC109190517
2503,0.2523771367521379,LOC109167934
2204,0.25237713675213785,LOC109189159
2277,0.25228785103785173,LOC109182997
368,0.2522283272283276,LOC109176820
1064,0.2521886446886456,LOC109180292
2080,0.25217872405372516,LOC109183698
1066,0.25215888278388343,LOC109181873
1970,0.25202991452991563,LOC109160564
2258,0.25199023199023274,LOC109165216
41,0.25192078754578845,LOC109167459
1907,0.2518315018315028,LOC109178419
2372,0.2517521367521379,LOC109165148
1017,0.25173229548229636,LOC109172909
1802,0.2516826923076935,LOC109162045
988,0.2516826923076934,LOC109190447
1607,0.2516231684981692,LOC109190767
1874,0.2515834859584867,LOC109151260
916,0.2515438034188045,LOC109150620
2745,0.2513354700854712,LOC109176028
669,0.2513354700854712,LOC109190508
1722,0.2513354700854712,LOC109189290
1646,0.2513057081807087,LOC109167825
1304,0.25128586691086774,LOC109153086
134,0.25124618437118496,LOC109156010
1217,0.2512362637362647,LOC109192440
135,0.25122634310134384,LOC109192871
2370,0.2511568986568995,LOC109159136
836,0.25112713675213794,LOC109182051
2030,0.25107753357753426,LOC109148095
770,0.2509981684981696,LOC109161157
1558,0.250988247863249,LOC109189098
1555,0.250988247863249,LOC109165733
1404,0.250988247863249,LOC109176207
1020,0.25091880341880457,LOC109149994
365,0.25091880341880457,LOC109156847
2136,0.2507898351648361,LOC109149422
639,0.25077991452991566,LOC109186372
1788,0.2507799145299152,LOC109179862
720,0.2506509462759472,LOC109186894
957,0.2506410256410268,LOC109190651
786,0.2506410256410268,LOC109176477
2480,0.25052197802197895,LOC109165688
1494,0.25050213675213784,LOC109167966
513,0.2502938034188046,LOC109168148
1372,0.2502938034188046,LOC109155105
2183,0.2502938034188046,LOC109192592
2588,0.2502442002442012,LOC109173734
2691,0.25023427960928063,LOC109165028
1312,0.2502243589743601,LOC109158953
1573,0.25016483516483623,LOC109158723
2328,0.2500854700854712,LOC109148129
990,0.25008547008547116,LOC109151177
665,0.24994658119658236,LOC109191167
931,0.2499465811965818,LOC109180466
220,0.2499366605616613,LOC109178061
678,0.2498275335775344,LOC109184812
2602,0.2498076923076935,LOC109191265
1731,0.24980769230769334,LOC109160098
412,0.24973824786324905,LOC109193266
1742,0.249738247863249,LOC109168288
46,0.24973824786324855,LOC109180039
340,0.24967872405372515,LOC109152391
735,0.24967872405372504,LOC109160145
1520,0.2496688034188046,LOC109167187
892,0.2496688034188046,LOC109148017
174,0.2496688034188046,LOC109169471
1192,0.2496688034188046,LOC109192993
1488,0.24966880341880443,LOC109164740
448,0.24966880341880437,LOC109169260
2239,0.24962912087912176,LOC109179480
987,0.24960927960928075,LOC109175690
661,0.24959935897436014,LOC109179397
1030,0.24959935897436014,LOC109182866
1031,0.24959935897436014,LOC109180063
11,0.24959935897436014,LOC109185825
2412,0.24959935897436014,LOC109190471
1293,0.24959935897436009,LOC109176580
1897,0.2495993589743596,LOC109194068
627,0.24952991452991563,LOC109151268
446,0.24949023199023285,LOC109185854
49,0.24941086691086783,LOC109177780
71,0.24940094627594744,LOC109172767
267,0.24940094627594728,LOC109160917
2469,0.24939102564102678,LOC109164127
103,0.24939102564102678,LOC109181998
