LOC109172325	XM_019321511.1
LOC109172332	XM_019321522.1
LOC109172341	XM_019321533.1
LOC109171802	XM_019320890.1
LOC109171802	XM_019320903.1
LOC109171802	XM_019320882.1
LOC109171802	XM_019320897.1
LOC109172349	XM_019321539.1
LOC109173644	XM_019322906.1
TRNAW-CCA_1	TRNAW-CCA_1
LOC109172507	XM_019321664.1
LOC109172517	XM_019321675.1
LOC109172526	XM_019321696.1
LOC109172526	XM_019321688.1
LOC109173660	XM_019322927.1
LOC109172537	XM_019321708.1
LOC109172556	XM_019321732.1
LOC109172564	XR_002052760.1
LOC109172564	XR_002052763.1
LOC109172564	XR_002052759.1
LOC109173682	XM_019322962.1
LOC109172548	XM_019321721.1
LOC109172573	XR_002052764.1
LOC109174614	XM_019323861.1
TRNAH-GUG	TRNAH-GUG
TRNAH-GUG_1	TRNAH-GUG_1
TRNAH-GUG_2	TRNAH-GUG_2
LOC109173689	XM_019322973.1
LOC109172580	XM_019321765.1
LOC109172590	XM_019321776.1
LOC109172599	XM_019321788.1
LOC109172606	XM_019321800.1
LOC109172622	XM_019321822.1
LOC109172615	XM_019321812.1
LOC109172632	XM_019321834.1
LOC109172632	XM_019321842.1
LOC109172648	XM_019321853.1
LOC109172648	XM_019321861.1
LOC109172663	XM_019321872.1
LOC109172663	XM_019321880.1
LOC109172663	XM_019321890.1
LOC109172663	XM_019321897.1
LOC109172687	XM_019321908.1
LOC109172696	XM_019321920.1
LOC109172696	XM_019321934.1
LOC109172696	XM_019321927.1
LOC109172696	XM_019321945.1
LOC109172696	XM_019321953.1
LOC109172725	XM_019321965.1
LOC109172725	XM_019321972.1
LOC109172725	XM_019321980.1
LOC109172745	XM_019321992.1
LOC109174593	XM_019323833.1
LOC109172753	XM_019322004.1
LOC109173723	XM_019323015.1
LOC109173729	XM_019323024.1
LOC109172767	XM_019322027.1
LOC109172759	XM_019322017.1
LOC109172782	XM_019322028.1
LOC109173740	XM_019323035.1
LOC109173751	XM_019323046.1
LOC109173760	XM_019323055.1
LOC109172798	XM_019322029.1
LOC109172798	XM_019322034.1
LOC109173767	XM_019323068.1
LOC109172827	XR_002052791.1
LOC109172812	XM_019322045.1
LOC109172822	XR_002052790.1
LOC109173776	XM_019323079.1
LOC109172832	XM_019322058.1
LOC109173801	XM_019323107.1
LOC109174706	XR_002053156.1
LOC109173812	XM_019323119.1
LOC109174704	XR_002053155.1
LOC109173825	XM_019323143.1
LOC109172840	XM_019322067.1
LOC109172840	XM_019322076.1
LOC109172840	XM_019322085.1
LOC109172840	XM_019322101.1
LOC109172840	XM_019322094.1
LOC109173844	XM_019323180.1
LOC109173852	XM_019323192.1
LOC109174558	XM_019323793.1
LOC109174558	XM_019323787.1
LOC109174558	XM_019323779.1
LOC109173871	XM_019323212.1
LOC109174552	XM_019323767.1
LOC109173878	XM_019323222.1
LOC109172864	XM_019322110.1
LOC109172864	XM_019322113.1
LOC109172864	XM_019322122.1
LOC109172884	XM_019322132.1
LOC109172884	XM_019322128.1
LOC109174640	XM_019323911.1
LOC109173896	XM_019323245.1
LOC109174672	XM_019323949.1
LOC109174621	XM_019323875.1
LOC109172893	XM_019322137.1
LOC109174629	XR_002053130.1
LOC109172901	XR_002052809.1
LOC109174688	XR_002053149.1
LOC109172917	XM_019322168.1
LOC109172917	XM_019322174.1
LOC109172917	XM_019322179.1
LOC109172917	XM_019322185.1
LOC109172907	XM_019322155.1
LOC109172907	XM_019322162.1
LOC109172907	XM_019322165.1
LOC109173928	XM_019323253.1
LOC109172942	XM_019322194.1
LOC109172950	XM_019322201.1
LOC109172957	XM_019322211.1
LOC109173934	XM_019323257.1
TRNAF-GAA	TRNAF-GAA
LOC109174588	XM_019323820.1
LOC109174634	XR_002053132.1
LOC109174701	XR_002053154.1
LOC109172970	XM_019322219.1
LOC109172970	XM_019322224.1
LOC109172986	XR_002052830.1
LOC109172992	XM_019322240.1
LOC109173002	XM_019322251.1
LOC109174694	XR_002053152.1
LOC109173958	XM_019323282.1
LOC109173009	XM_019322263.1
LOC109173009	XM_019322279.1
LOC109173009	XM_019322272.1
LOC109173028	XM_019322290.1
LOC109173966	XM_019323288.1
LOC109173061	XR_002052839.1
LOC109173061	XR_002052840.1
LOC109173061	XM_019322322.1
LOC109173976	XM_019323297.1
LOC109173987	XM_019323302.1
LOC109173036	XM_019322300.1
LOC109173045	XM_019322309.1
LOC109173052	XR_002052838.1
LOC109173052	XR_002052837.1
LOC109173052	XM_019322313.1
LOC109174002	XM_019323303.1
LOC109173070	XM_019322330.1
LOC109173070	XM_019322335.1
LOC109173070	XM_019322339.1
LOC109173085	XR_002052841.1
LOC109173089	XM_019322349.1
LOC109174602	XR_002053125.1
LOC109174602	XR_002053122.1
LOC109174030	XM_019323325.1
LOC109174710	XR_002053157.1
LOC109174717	XR_002053158.1
LOC109174039	XM_019323333.1
LOC109174046	XM_019323339.1
LOC109174050	XM_019323346.1
LOC109174060	XM_019323353.1
LOC109173099	XM_019322365.1
LOC109173099	XM_019322360.1
LOC109173099	XM_019322373.1
LOC109174066	XM_019323361.1
LOC109174075	XM_019323369.1
LOC109173120	XM_019322383.1
LOC109173138	XR_002052853.1
LOC109173138	XR_002052852.1
LOC109173130	XM_019322396.1
LOC109174091	XM_019323381.1
LOC109173146	XM_019322418.1
LOC109173146	XM_019322426.1
LOC109173159	XR_002052863.1
LOC109173166	XM_019322442.1
LOC109173166	XM_019322450.1
LOC109173191	XM_019322494.1
LOC109173191	XM_019322485.1
LOC109173191	XM_019322501.1
LOC109173314	XR_002052875.1
LOC109173232	XM_019322547.1
LOC109173287	XM_019322551.1
LOC109173303	XR_002052874.1
LOC109174133	XM_019323427.1
LOC109173181	XM_019322472.1
LOC109173181	XM_019322462.1
LOC109173246	XR_002052873.1
LOC109173246	XM_019322548.1
LOC109173246	XM_019322550.1
LOC109173246	XM_019322549.1
LOC109173210	XM_019322520.1
LOC109173210	XM_019322511.1
LOC109173210	XM_019322534.1
LOC109173210	XM_019322526.1
LOC109173321	XM_019322565.1
LOC109173321	XM_019322558.1
LOC109173321	XM_019322571.1
LOC109173321	XM_019322555.1
LOC109174578	XR_002053117.1
LOC109174584	XR_002053118.1
LOC109173340	XM_019322582.1
LOC109174172	XM_019323437.1
LOC109174178	XM_019323446.1
LOC109174625	XR_002053129.1
LOC109174197	XM_019323453.1
LOC109174204	XM_019323462.1
LOC109173349	XM_019322587.1
LOC109174222	XM_019323476.1
LOC109173361	XR_002052882.1
LOC109173353	XM_019322592.1
LOC109174255	XM_019323501.1
LOC109173366	XM_019322603.1
LOC109174665	XR_002053145.1
LOC109174263	XM_019323508.1
LOC109173373	XM_019322608.1
LOC109173373	XM_019322611.1
LOC109174301	XM_019323543.1
LOC109174317	XM_019323555.1
LOC109173383	XM_019322618.1
LOC109173383	XM_019322627.1
LOC109173383	XM_019322639.1
LOC109173383	XM_019322652.1
LOC109173383	XM_019322643.1
LOC109173383	XM_019322616.1
LOC109173383	XM_019322620.1
LOC109173383	XM_019322632.1
LOC109174392	XM_019323632.1
LOC109173425	XM_019322660.1
LOC109173425	XM_019322666.1
LOC109173425	XM_019322673.1
LOC109173460	XM_019322694.1
LOC109173450	XM_019322685.1
LOC109174647	XM_019323923.1
LOC109174421	XM_019323660.1
LOC109173491	XR_002052922.1
LOC109173468	XM_019322713.1
LOC109173468	XM_019322706.1
LOC109173468	XM_019322722.1
LOC109173468	XM_019322718.1
LOC109174435	XM_019323673.1
LOC109174442	XM_019323680.1
LOC109174448	XM_019323687.1
LOC109173525	XM_019322768.1
LOC109173498	XM_019322748.1
LOC109173498	XM_019322763.1
LOC109173498	XM_019322758.1
LOC109173498	XM_019322738.1
LOC109173498	XM_019322754.1
LOC109173498	XM_019322744.1
LOC109173533	XM_019322775.1
LOC109173533	XM_019322780.1
LOC109174480	XM_019323716.1
LOC109174609	XR_002053127.1
LOC109173557	XM_019322800.1
LOC109173557	XM_019322810.1
LOC109173557	XM_019322815.1
LOC109173557	XM_019322805.1
LOC109173557	XM_019322822.1
LOC109173545	XM_019322790.1
